From,To,Distance(m),BaseDwell,ActualDwell,BaseSpeed(km/h),UsedSpeed(km/h),Runtime(s),SectionTime(s),Headway(s),SpeedBoostApplied
GAIMUKH,GOWNIWADA,1502.23,60,98,35,40,173.483,271.483,38.7833,YES
GOWNIWADA,KASARVADVALI,1385.39,30,56,45,50,160.27,216.27,30.8957,YES
KASARVADVALI,VIJAYGARDEN,1024.04,30,44,45,50,118.984,162.984,23.2835,YES
VIJAYGARDEN,DONGARI PADA,1198.78,30,41,45,50,139.037,180.037,25.7196,YES
DONGARI PADA,TIKUJI NI WADI,1226.69,35,68,45,50,142.225,210.225,30.0321,YES
TIKUJI NI WADI,MANPADA,758.992,30,46,45,50,97.9364,143.936,20.5623,YES
MANPADA,KAPURBAWDI,815.824,30,41,45,50,94.8085,135.809,19.4012,YES
KAPURBAWDI,MAJIWADA,1453.71,50,86,45,50,168.003,254.003,36.2861,YES
MAJIWADA,CADBUARY JUNCTION,824.707,30,23,45,45,109.54,132.54,18.9343,NO
