From,To,Distance(m),BaseSpeed(km/h),BoostedSpeed(km/h),DwellTime(s),Runtime(s),Headway(s),BoostApplied
GAIMUKH,GOWNIWADA,1502.23,35,35,91,198.267,41.3238,YES
GOWNIWADA,KASARVADVALI,1385.39,35,38,51,168.705,31.3865,YES
KASARVADVALI,VIJAYGARDEN,1024.04,35,38,41,125.246,23.7495,YES
VIJAYGARDEN,DONGARI PADA,1198.78,35,35,39,158.9,28.2714,NO
DONGARI PADA,TIKUJI NI WADI,1226.69,35,38,62,149.71,30.2443,YES
TIKUJI NI WADI,MANPADA,758.992,30,35,43,100.735,20.5335,YES
MANPADA,KAPURBAWDI,815.824,30,30,39,126.411,23.6302,NO
KAPURBAWDI,MAJIWADA,1453.71,35,38,79,176.845,36.5493,YES
MAJIWADA,CADBUARY JUNCTION,824.707,30,30,26,127.797,21.971,NO
