From,To,Distance(m),BaseSpeed,BoostedSpeed,DwellTime,Runtime(s),SafeHeadway(s),NormalHeadway(s),BoostedHeadway(s),ActionTaken,TrainsPerHour(Normal),TrainsPerHour(Boosted)
GAIMUKH,GOWNIWADA,1502.23,35,35,91,198.267,17.4286,41.3238,41.3238,NO_BOOST,87.1168,87.1168
GOWNIWADA,KASARVADVALI,1385.39,35,38,51,168.705,17.4286,33.4522,31.3865,BOOST_APPLIED,107.616,114.699
KASARVADVALI,VIJAYGARDEN,1024.04,35,38,41,125.246,17.4286,25.2831,23.7495,BOOST_APPLIED,142.387,151.582
VIJAYGARDEN,DONGARI PADA,1198.78,35,35,39,158.9,17.4286,28.2714,28.2714,NO_BOOST,127.337,127.337
DONGARI PADA,TIKUJI NI WADI,1226.69,35,38,62,149.71,17.4286,32.0775,30.2443,BOOST_APPLIED,112.228,119.031
TIKUJI NI WADI,MANPADA,758.992,30,35,43,100.735,20,22.932,20.5335,BOOST_APPLIED,156.986,175.323
MANPADA,KAPURBAWDI,815.824,30,30,39,126.411,20,23.6302,23.6302,NO_BOOST,152.347,152.347
KAPURBAWDI,MAJIWADA,1453.71,35,38,79,176.845,17.4286,38.7147,36.5493,BOOST_APPLIED,92.9879,98.4972
MAJIWADA,CADBUARY JUNCTION,824.707,30,30,26,127.797,20,21.971,21.971,NO_BOOST,163.853,163.853
